,01_prenom,02_genre,03_langage
0,aaliyah,f,english (modern)
1,aapeli,m,finnish
2,aapo,m,finnish
3,aaren,"m,f",english
4,aarne,m,finnish
5,aarón,m,spanish
6,aaron,m,"english, biblical"
7,aatami,m,finnish
8,aatto,m,finnish
9,aatu,m,finnish
10,abaddon,m,biblical
11,abbán,m,irish
12,'abbas,m,arabic
13,abbey,f,english
14,abbie,f,english
15,abby,f,english
16,abd-al-aziz,m,arabic
17,abd-allah,m,arabic
18,abd-al-malik,m,arabic
19,abd-al-qadir,m,arabic
20,abd-al-rahman,m,arabic
21,abdul,m,arabic
22,abdul-aziz,m,arabic
23,abdullah,m,arabic
24,abdul-rahman,m,arabic
25,abe,m,"english, jewish"
26,abednego,m,biblical
27,abegail,f,spanish
28,ábel,m,hungarian
29,abel,m,"english, french, spanish, biblical"
30,abelone,f,danish
31,abena,f,african
32,abeni,f,african
33,abhay,m,indian
34,abiah,"m,f",biblical
35,abidan,m,biblical
36,abidemi,m,african
37,abiel,m,biblical
38,abigail,f,"english, german, biblical"
39,abigayle,f,english (modern)
40,abihu,m,biblical
41,abijah,"m,f",biblical
42,abilene,f,biblical
43,abimael,m,biblical
44,abiram,m,biblical
45,abisai,m,biblical (variant)
46,abishag,f,biblical
47,abishai,m,biblical
48,abital,f,biblical
49,'abla,f,arabic
50,abner,m,"english, biblical"
51,abraham,m,"english, jewish, biblical"
52,abram,m,biblical
53,absalom,m,"english, biblical"
54,absolon,m,french
55,acacia,f,english
56,acacius,m,ancient greek (latinized)
57,acantha,f,greek mythology (latinized)
58,ace,m,english
59,achaicus,m,"biblical, ancient greek (latinized)"
60,achan,m,biblical
61,achieng,f,african
62,achille,m,"french, italian"
63,achilles,m,greek mythology (latinized)
64,achim,m,german
65,acke,m,swedish
66,ada,f,english
67,adah,f,biblical
68,adair,m,
69,adalbert,m,"ancient germanic, german"
70,adalberto,m,"italian, spanish, portuguese"
71,adalheid,f,german
72,adalia,m,biblical
73,ádám,m,hungarian
74,adam,m,"english, french, german, polish, russian, romanian, biblical"
75,adamina,f,english
76,adamo,m,italian
77,adán,m,spanish
78,adão,m,portuguese
79,adara,f,
80,addie,f,english
81,addison,"m,f",english
82,addy,f,english
83,adel,m,arabic
84,adela,f,english
85,adélaïde,f,french
86,adelaide,f,english
87,adèle,f,french
88,adelheid,f,"german, dutch"
89,adelia,f,english
90,adelina,f,"italian, portuguese, spanish"
91,adeline,f,"french, english"
92,adelle,f,english
93,adelmar,m,german
94,adem,m,turkish
95,aden,m,
96,adena,f,
97,adhara,f,astronomy
98,adhiambo,f,african
99,adi,f,jewish
100,adil,m,arabic
101,adina,"f,m",biblical
102,adino,m,biblical
103,adisa,m,african
104,aditya,m,indian
105,adjoa,f,african
106,adlai,m,biblical
107,adolf,m,german
108,adolfo,m,"italian, spanish"
109,adolph,m,english
110,adolphe,m,french
111,adolphus,m,history
112,adonai,m,theology
