01_prenom;02_genre;03_langage
aaliyah;f;english (modern)
aapeli;m;finnish
aapo;m;finnish
aaren;m,f;english
aarne;m;finnish
aarón;m;spanish
aaron;m;english, biblical
aatami;m;finnish
aatto;m;finnish
aatu;m;finnish
abaddon;m;biblical
abbán;m;irish
'abbas;m;arabic
abbey;f;english
abbie;f;english
abby;f;english
abd-al-aziz;m;arabic
abd-allah;m;arabic
abd-al-malik;m;arabic
abd-al-qadir;m;arabic
abd-al-rahman;m;arabic
abdul;m;arabic
abdul-aziz;m;arabic
abdullah;m;arabic
abdul-rahman;m;arabic
abe;m;english, jewish
abednego;m;biblical
abegail;f;spanish
ábel;m;hungarian
abel;m;english, french, spanish, biblical
abelone;f;danish
abena;f;african
abeni;f;african
abhay;m;indian
abiah;m,f;biblical
abidan;m;biblical
abidemi;m;african
abiel;m;biblical
abigail;f;english, german, biblical
abigayle;f;english (modern)
abihu;m;biblical
abijah;m,f;biblical
abilene;f;biblical
abimael;m;biblical
abiram;m;biblical
abisai;m;biblical (variant)
abishag;f;biblical
abishai;m;biblical
abital;f;biblical
'abla;f;arabic
abner;m;english, biblical
abraham;m;english, jewish, biblical
abram;m;biblical
absalom;m;english, biblical
absolon;m;french
acacia;f;english
acacius;m;ancient greek (latinized)
acantha;f;greek mythology (latinized)
ace;m;english
achaicus;m;biblical, ancient greek (latinized)
achan;m;biblical
achieng;f;african
achille;m;french, italian
achilles;m;greek mythology (latinized)
achim;m;german
acke;m;swedish
ada;f;english
adah;f;biblical
adair;m;
adalbert;m;ancient germanic, german
adalberto;m;italian, spanish, portuguese
adalheid;f;german
adalia;m;biblical
ádám;m;hungarian
adam;m;english, french, german, polish, russian, romanian, biblical
adamina;f;english
adamo;m;italian
adán;m;spanish
adão;m;portuguese
adara;f;
addie;f;english
addison;m,f;english
addy;f;english
adel;m;arabic
adela;f;english
adélaïde;f;french
adelaide;f;english
adèle;f;french
adelheid;f;german, dutch
adelia;f;english
adelina;f;italian, portuguese, spanish
adeline;f;french, english
adelle;f;english
adelmar;m;german
adem;m;turkish
aden;m;
adena;f;
adhara;f;astronomy
adhiambo;f;african
adi;f;jewish
adil;m;arabic
adina;f,m;biblical
adino;m;biblical
adisa;m;african
aditya;m;indian
adjoa;f;african
adlai;m;biblical
adolf;m;german
adolfo;m;italian, spanish
adolph;m;english
adolphe;m;french
adolphus;m;history
adonai;m;theology
adonia;f;
adonijah;m;biblical
adonis;m;greek mythology
adora;f;spanish
adorinda;f;esperanto
adorján;m;hungarian
adrasteia;f;greek mythology
adrastos;m;greek mythology
adria;f;english
adriaan;m;dutch
adrián;m;spanish
adrian;m;english, romanian, russian
adriana;f;italian, spanish, portuguese, romanian, english
adrianna;f;english
adrianne;f;english
adriano;m;italian
adrien;m;french
adrienn;f;hungarian
adrienne;f;french
adwoa;f;african
aegle;f;greek mythology (latinized)
ælfwine;m;anglo-saxon
aella;f;greek mythology
ælred;m;anglo-saxon
aemilia;f;ancient roman
aeneas;m;roman mythology
aengus;m;irish
aeolus;m;greek mythology (latinized)
aeron (1);m,f;welsh
aeron (2);f,m;welsh mythology
aeronwen;f;welsh
aeronwy;f;welsh
æsc;m;anglo-saxon
aeschylus;m;ancient greek (latinized)
aeson;m;greek mythology (latinized)
aesop;m;ancient greek (anglicized)
æðelbert;m;anglo-saxon
æðelfrid;m;anglo-saxon
æðelmær;m;anglo-saxon
æðelred;m;anglo-saxon
æðelstan;m;anglo-saxon
æðelþryð;f;anglo-saxon
afanasi;m;russian
afanasy;m;russian
afanen;f;welsh
afia;f;african
afolabi;m;african
afon;f,m;welsh
afonso;m;portuguese
afra;f;
africa;f;english
afua;f;african
agafya;f;russian
agamemnon;m;greek mythology
agape;f;greek, ancient greek
agapios;m;greek, ancient greek
agata;f;italian, spanish, polish, czech, slovene, russian
agatha;f;english
agathangelos;f;ancient greek
agathe;f;french, german, greek, ancient greek
agathon;m;ancient greek
agaue;f;greek mythology
aggie;f;english
aghavni;f;armenian
ági;f;hungarian
aglaia;f;greek mythology, greek
aglaya;f;russian
aglea;f;
ágnes;f;hungarian
agnès;f;french
agnes;f;english, german, dutch, scandinavian
agnese;f;italian, latvian
agnessa;f;russian
agneta;f;swedish
agnethe;f;german
agnieszka;f;polish
agostina;f;italian
agostinho;m;portuguese
agostino;m;italian
ágoston;m;hungarian
ágota;f;hungarian
agrafena;f;russian
agrippa;m;ancient roman, biblical
agrippina;f;ancient roman
agrona;f;celtic mythology
águeda;f;spanish
agustín;m;spanish
ah;m,f;chinese
ahab;m;biblical
aharon;m;jewish
ahmad;m;arabic
ahmed;m;arabic
ahmet;m;turkish
ahriman;m;near eastern mythology
ahtahkakoop;m;native american
ahura mazda;m;near eastern mythology
ahuva;f;jewish
ai (1);f;japanese
ai (2);f;chinese
aias;m;greek mythology
aida;f;english
aidan;m,f;irish, scottish
aiden;m;
aignéis;f;irish
aikaterine;f;greek
ailbhe;m,f;irish
aileas;f;scottish
aileen;f;scottish, english
ailill;m;irish, irish mythology
ailín;m;irish
ailís;f;irish
ailpein;m;scottish
ailsa;f;scottish
aimé;m;french
aimée;f;french
aimo;m;finnish
aina;f;spanish
aindrea;m;scottish
aindréas;m;irish
aindriú;m;irish
áine;f;irish
aingeal;f;irish
aino;f;finnish
ainsley;m,f;english, scottish
ainslie;m,f;english, scottish
aintzane;f;basque
aiolos;m;greek mythology
'aisha;f;arabic
aislin;f;irish, english
aisling;f;irish
aislinn;f;irish
aithne;f;irish
aitor;m;basque
ajax;m;greek mythology (latinized)
ajeet;m;indian
ajit;m;indian
ajith;m;indian
akakios;m;greek, ancient greek
akamu;m;hawaiian
akanksha;f;indian
akeem;m;arabic
akemi;f;japanese
akhil;m;indian
